"<a href=""https://www.youtube.com/watch?v=NC9RAOuSYes&amp;t=5m49s"">5:49</a><br /><a href=""https://www.youtube.com/watch?v=NC9RAOuSYes&amp;t=6m09s"">6:09</a><br /><br />Вилса совсем обожрался!",0
"Снимаю свадьбы в формате 360 видео и фото, 8-904-996-79-29",0
"Когда увидел как он снял с камеры крышку и слюнями брызгал в открытое дупло затвора, да еще потом то же самое сделал с переходником, аж передернуло! Базару ноль, смартфон застрахован от таких вот приключений )))",0
"Вилса, з@₽бал шутить, мы не выкупаем)",0
Про бленду ночью это зачет!)),0
Нихуя не понял)6,0
Кликбейт,0
"бла бла бла один пиздешь, как это можно смотреть?",0
Пора сказать что айфоны убивают фотики <br /><br />У меня свой канал оцените,0
"Секрет сони,они купили минолту.",0
Если руки из жопы и нет художественного видения никакое железо не поможет.<br />Наш пациент - тот самый случай.,0
"Вая, Ты реально дурак....",0
Всегда смотрю твой канал,0
"Сам себя не похвалишь, никто не похвалит)) я в плане его ЧСВ как фотографа. Убогий чел, имхо",0
"Не досмотрела,как только начинают про лайки,интерес пропадает смотреть.",0
Ни о чем из заявленного названия :((,0
"Тупо потратил 15 минут, ждал сравнение камеры и Iphone а получил ДУЛЮ! Спасибо за ДУЛЮ!",0
"Вилса, скажи только честно, сколько будет стоить заказать тебя в качестве видеографа\фотографа на свадьбу, в 2019 году??? И дело не в том что ты уже не занимаешься этим. А за какую сумму ты бы на сегодняшний день чисто по приколу захотел бы вспомнить прошлое и поснимать на свадьбе в Москве!?",0
"Понятно, что название ролика просто для привлечения внимания, ибо сравнивать жопу с пальцем можно, но некорректно...",0
"Не более злые, просто специально для спортивных мероприятий создали A9, которая в свою очередь не способна давать того же качества, что A7R III. Камера другого назначения, как и A7S, например",0
"<a href=""https://www.youtube.com/watch?v=NC9RAOuSYes&amp;t=10m18s"">10:18</a> проорал знатно",0
"До  <a href=""https://www.youtube.com/watch?v=NC9RAOuSYes&amp;t=1m34s"">1:34</a>  собирался  написать,  что-то  типа  &quot;нормальный  свадебный  фотограф  такие  фотки  сразу  в  корзину  отправляет  и  никому  не  показывает...&quot;",0
Это слишком сложно для большей части аудитории )),0
хороший понт дороже денег),0
"Ни копейки не дам! Не жалко, но просто не стоит сравнивать &quot; проплаченный &quot; ролик про Ай фу! И камеру с качеством.",0
"Автор, попробуй распечатать снимок сделанный на айфон размером примерно 12 метров на 8 метров. <br />Это реально? <br />Если размер файла черно белого для печати я подготавливаю в 700-900мб. <br /><br />Я рекомендую тебе использовать вещи по назначению.",0
У меня Canon EOS 4000D.,0
"Да она ночью видео снимает , пальчики оближешь",0
"Каким боком приложенька у Sony кастрированная?))) Я с этой приложеньки могу вообще всё нужное для фото и видео настроить, а не только мониторить, да еще и фотку сразу получить в телефон, если надо. Это вы ее еще много лет назад не видели, когда вообще ни у кого такого не было) были свои косяки, но все поправили и объективами, с моторизированным зумом можно управлять даже.",0
"Это ты ещё Валя не знаешь, сколько будет стоить в 2019 году новый Mac Pro c новым моником!😜",0
Prodajniy pedik,0
Блин мне профисиональную камеру,0
"Ясно, опять патаю снял видео...",0
